idElemento,idElementoRef
tTipoDato,tdbooleano
tdfrase,tdTurno
tdfrase,tdTurno
tdfrase,tdNivelAcademico
tdfrase,tdTipoDeDivision
tdfrase,tdEstadoDePlanDeEstudio
tdfrase,tdTipoDeEnsenanza
tdfrase,tdTipoDeUdeA
tdfrase,tdTipoDeUdeA
tdfrase,tdModalidad
tdpalabra,tdModalidad
tdpalabra,tdTipoDeNombramiento
tdfrase,tdTipoDeNombramiento
tdfrase,tdEstadoDeEstructuraEducativa
sec:SM-EE,tdEstadoDeEstructuraEducativa
tdfrase,tdActividadComplementaria
tdentero,tdActividadComplementaria
tdfrase,tdTipoDeExposicion
tdfrase,tdTipoDeExposicion
tdfrase,tdTipoDeCarga
tdfrase,tdTipoDeCarga
tdfrase,tdEstadoDeCargaDelAlumno
tdfrase,tdEstadoDeDocumentacion
tdfrase,tdEstadoDelAlumno
tdfrase,tdDocumento
tdfrase,tdEstadoDeDevolucionDeDocumento
tdfrase,Alumno
tdfrase,Alumno
tdfrase,Alumno
tdpalabra,Alumno
tdfecha,Alumno
tdfecha,Alumno
tdarchivo,Alumno
tdpalabra,CicloEscolar
tdfecha,CicloEscolar
tdfecha,CicloEscolar
CalendarioAcademico,CicloEscolar
PeriodoEscolar,CicloEscolar
UnidadAcademica,CicloEscolar
tdfrase,CalendarioAcademico
CicloEscolar,CalendarioAcademico
ActividadCalendario,CalendarioAcademico
UnidadAcademica,CalendarioAcademico
CalendarioAcademico,CalendarioAcademico
tdfrase,PeriodoEscolar
tdfecha,PeriodoEscolar
tdfecha,PeriodoEscolar
CicloEscolar,PeriodoEscolar
ActividadCalendario,PeriodoEscolar
UnidadAcademica,PeriodoEscolar
tdfecha,ActividadCalendario
tdfecha,ActividadCalendario
PeriodoEscolar,ActividadCalendario
tdfrase,Programa
tdentero,Programa
tdfecha,Programa
tdfecha,Programa
tdboleano,Programa
tdentero,Programa
Parte Fecha,Programa
Corrida,Programa
tdhora,Corrida
tdfecha,Corrida
tdfrase,Corrida
Programa,Corrida
tdfrase,UnidadAcademica
tdfrase,UnidadAcademica
tdpalabra,UnidadAcademica
PeriodoEscolar,UnidadAcademica
CicloEscolar,UnidadAcademica
CalendarioAcademico,UnidadAcademica
tdflotante,PlanDeEstudio
tdflotante,PlanDeEstudio
tdflotante,PlanDeEstudio
tdentero,PlanDeEstudio
tdentero,PlanDeEstudio
tdfrase,PlanDeEstudio
PeriodoEnUnidadAcademica,PlanDeEstudio
tdfecha,PeriodoEnUnidadAcademica
tdfecha,PeriodoEnUnidadAcademica
PlanDeEstudio,PeriodoEnUnidadAcademica
UnidadAcademica,PeriodoEnUnidadAcademica
PeriodoEscolar,PeriodoEnUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdentero,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdfecha,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdTipoDeCarga,PlanDeEstudioEnPeriodoDeUnidadAcademica
AlumnoAsignado,PlanDeEstudioEnPeriodoDeUnidadAcademica
tdtexto,AlumnoAsignado
tdpalabra,AlumnoAsignado
tdpalabra,AlumnoAsignado
tdpalabra,AlumnoAsignado
tdpalabra,AlumnoAsignado
tdfecha,AlumnoAsignado
tdEstadoDeCargaDelAlumno,AlumnoAsignado
tdEstadoDeDocumentacion,AlumnoAsignado
tdEstadoDelAlumno,AlumnoAsignado
Documento,AlumnoAsignado
SituacionEscolar,AlumnoAsignado
Alumno,AlumnoAsignado
tdflotante,SituacionEscolar
tdflotante,SituacionEscolar
tdflotante,SituacionEscolar
tdentero,SituacionEscolar
tdentero,SituacionEscolar
tdentero,SituacionEscolar
tdentero,SituacionEscolar
tdentero,SituacionEscolar
tdentero,SituacionEscolar
tdflotante,SituacionEscolar
tdentero,SituacionEscolar
tdDocumento,DocumentoDeAlumnoAsignado
AlumnoAsignado,DocumentoDeAlumnoAsignado
tdEstadoDeDevolucionDeDocumento,DocumentoDeAlumnoAsignado
tdEstadoDeEstructuraEducativa,EstructuraEducativa
SegmentoDeEstructuraEducativa,EstructuraEducativa
tUnidadAcademica,EstructuraEducativa
PeriodoEscolar,EstructuraEducativa
tdEstadoDeEstructuraEducativa,SegmentoDeEstructuraEducativa
tdNivelAcademico,SegmentoDeEstructuraEducativa
tdModalidad,SegmentoDeEstructuraEducativa
tddia,SegmentoDeEstructuraEducativa
tdTurno,SegmentoDeEstructuraEducativa
EstructuraEducativa,SegmentoDeEstructuraEducativa
UdeAEnOferta,SegmentoDeEstructuraEducativa
Grupo,SegmentoDeEstructuraEducativa
ProfesorEnSegmento,SegmentoDeEstructuraEducativa
tdfrase,Grupo
tdbooleano,Grupo
tdbooleano,Grupo
SegmentoDeEstructuraEducativa,Grupo
TurnoEnSegmento,Grupo
UdeAEnOferta,Grupo
tdflotante,ProfesorEnSegmento
tdflotante,ProfesorEnSegmento
tdflotante,ProfesorEnSegmento
tdActividadComplementaria,ProfesorEnSegmento
Profesor,ProfesorEnSegmento
SegmentoDeEstructuraEducativa,ProfesorEnSegmento
PlaneacionAsignacion,ProfesorEnSegmento
Grupo,UdeAEnOferta
UdeA,UdeAEnOferta
SegmentoDeEstructuraEducativa,UdeAEnOferta
Periodo,UdeAEnOferta
tdfecha,Periodo
tdfecha,Periodo
UdeAEnOferta,Periodo
tdhoras,SubUdeA
tdentero,SubUdeA
tdtexto,SubUdeA
tdTipodeUdeA,SubUdeA
UdeA,SubUdeA
Exposicion,SubUdeA
tdhora,Exposicion
tdhora,Exposicion
tdTipoDeExposicion,Exposicion
tdentero,Exposicion
SubUdeA,Exposicion
GrupoConUdeAEnOferta,Exposicion
DiaLaboral,Exposicion
Seccion,Exposicion
EspacioAsignado,Exposicion
PlaneacionAsignacion,Exposicion
tdentero,Seccion
Exposicion,Seccion
EspacioParaExposicion,Seccion
tdTipoDeNombramiento,ProfesorEnExposicion
tdflotante,PlaneacionAsignacion
tdflotante,PlaneacionAsignacion
tdTipodeAsignacion,PlaneacionAsignacion
Exposicion,PlaneacionAsignacion
GrupoConUdeAEnOferta,PlaneacionAsignacion
tdhora,TurnoEnSegmento
tdhora,TurnoEnSegmento
Grupo,TurnoEnSegmento
Exposicion,DiaLaboral
ProfesorConActividad,DiaLaboral
tdhora,ProfesorConActividadComplementaria
tdhora,ProfesorConActividadComplementaria
DiaLaboral,ProfesorConActividadComplementaria
tdentero,GrupoConUdeAEnOferta
tdentero,GrupoConUdeAEnOferta
PlaneacionAsignacion,GrupoConUdeAEnOferta
Exposicion,GrupoConUdeAEnOferta
tdbooleano,AnalistaDeEstructuraEducativa
RecursoHumano,AnalistaDeEstructuraEducativa
tUnidadAcademica,AnalistaDeEstructuraEducativa
AnalistaDeEstructuraEducativa,AnalistaenUnidadAcademica
tUnidadAcademica,AnalistaenUnidadAcademica
PeriodoEscolar,AnalistaenUnidadAcademica
tdbooleano,AcademiaDeUdeA
tdfrase,ProgramaAcademico
tdRamadelConocimiento,ProgramaAcademico
tdNivelAcademico,ProgramaAcademico
PlandeEstudios,ProgramaAcademico
tdflotante,PlanDeEstudio
tdflotante,PlanDeEstudio
tdflotante,PlanDeEstudio
tdentero,PlanDeEstudio
tdEntero,PlanDeEstudio
tdfrase,PlanDeEstudio
tdTipoDeDivision,PlanDeEstudio
tdEstadoDePlanDeEstudio,PlanDeEstudio
ProgramaAcademico,PlanDeEstudio
tUnidadAcademica,PlanDeEstudio
Especialidad,PlanDeEstudio
UdeA,PlanDeEstudio
Division,PlanDeEstudio
tdfrase,UdeA
tdpalabra,UdeA
tdflotante,UdeA
tdflotante,UdeA
tdflotante,UdeA
tdflotante,UdeA
tdentero,UdeA
tdflotante,UdeA
tdTipoDeEnsenanza,UdeA
tdTipoDeUdeA,UdeA
UdeA,UdeA
PlanDeEstudio,UdeA
SubUdeA,UdeA
Especialidad,UdeA
Academia,UdeA
UdeAEnOferta,UdeA
Division,UdeA
tdTipoDeAntecedente,Antecedente
tdTipoDeUdeA,Antecedente
tdentero,Division
tdflotante,Division
Division,Division
UdeA,Division
tdfrase,Especialidad
tdbooleano,Especialidad
UdeA,Especialidad
PlanDeEstudio,Especialidad
Especialidad,EspecialidadDeUdeA
