idElemento,idElementoRef
BR-IN-N005,IN-UA-CU1
BR-IN-N010,IN-UA-CU3
BR-IN-N011,IN-UA-CU3
BR-IN-N012,IN-UA-CU3
BR-IN-N013,IN-UA-CU3
BR-IN-N014,IN-UA-CU3
BR-IN-N010,IN-UA-CU3.1
BR-IN-N011,IN-UA-CU3.1
BR-IN-N012,IN-UA-CU3.1
BR-IN-N013,IN-UA-CU3.1
BR-IN-N014,IN-UA-CU3.1
BR-IN-N027,IN-UA-CU3.1.1
BR-IN-N024,IN-UA-CU3.1.1
BR-IN-N025,IN-UA-CU3.1.1
BR-IN-N026,IN-UA-CU3.1.1
BR-IN-N027,IN-UA-CU3.1.1
BR-IN-N027,IN-UA-CU3.1.2
BR-IN-N024,IN-UA-CU3.1.2
BR-IN-N025,IN-UA-CU3.1.2
BR-IN-N026,IN-UA-CU3.1.2
BR-IN-N027,IN-UA-CU3.1.2
