idElemento,idElementoRef
MSG3,IN-UA-CU1
MSG16,IN-UA-CU3
MSG16,IN-UA-CU3
MSG16,IN-UA-CU3.1
MSG16,IN-UA-CU3.1
MSG181,IN-UA-CU3.1.1
MSG182,IN-UA-CU3.1.1
MSG183,IN-UA-CU3.1.1
MSG3,IN-UA-CU3.1.1
MSG3,IN-UA-CU3.1.1
MSG3,IN-UA-CU3.1.1
MSG3,IN-UA-CU3.1.1
MSG188,IN-UA-CU3.1.1
MSG184,IN-UA-CU3.1.1
MSG185,IN-UA-CU3.1.1
MSG181,IN-UA-CU3.1.2
MSG182,IN-UA-CU3.1.2
MSG183,IN-UA-CU3.1.2
MSG3,IN-UA-CU3.1.2
MSG3,IN-UA-CU3.1.2
MSG3,IN-UA-CU3.1.2
MSG3,IN-UA-CU3.1.2
MSG188,IN-UA-CU3.1.2
MSG184,IN-UA-CU3.1.2
MSG185,IN-UA-CU3.1.2
MSGX,IN-UA-CU4
MSGX,IN-UA-CU4.1
