idElemento,idElementoRef
IN-UA-CU1,BR-IN-N005
IN-UA-CU3,BR-IN-N010
IN-UA-CU3.1,BR-IN-N010
IN-UA-CU3,BR-IN-N011
IN-UA-CU3.1,BR-IN-N011
IN-UA-CU3,BR-IN-N012
IN-UA-CU3.1,BR-IN-N012
IN-UA-CU3,BR-IN-N013
IN-UA-CU3.1,BR-IN-N013
IN-UA-CU3,BR-IN-N014
IN-UA-CU3.1,BR-IN-N014
IN-UA-CU3.1.1,BR-IN-N024
IN-UA-CU3.1.2,BR-IN-N024
IN-UA-CU3.1.1,BR-IN-N025
IN-UA-CU3.1.2,BR-IN-N025
IN-UA-CU3.1.1,BR-IN-N026
IN-UA-CU3.1.2,BR-IN-N026
IN-UA-CU3.1.1,BR-IN-N027
IN-UA-CU3.1.1,BR-IN-N027
IN-UA-CU3.1.2,BR-IN-N027
IN-UA-CU3.1.2,BR-IN-N027
CU-Login,IN-UA-CU1
IN-UA-CU1,IN-UA-CU3.1
IN-UA-CU1,IN-UA-CU3.1
IN-UA-CU3.1,IN-UA-CU3.1.1
IN-UA-CU3.1,IN-UA-CU3.1.2
Alumno.CURP,IN-UA-CU4
IN-IU-CU1,IN-UA-CU4
IN-DAE-CU1,IN-UA-CU4
Alumno.CURP,IN-UA-CU4.1
IN-UA-CU4,IN-UA-CU4.1
IN-UA-CU1,MSG3
IN-UA-CU3.1.1,MSG3
IN-UA-CU3.1.1,MSG3
IN-UA-CU3.1.1,MSG3
IN-UA-CU3.1.1,MSG3
IN-UA-CU3.1.2,MSG3
IN-UA-CU3.1.2,MSG3
IN-UA-CU3.1.2,MSG3
IN-UA-CU3.1.2,MSG3
IN-UA-CU3,MSG16
IN-UA-CU3,MSG16
IN-UA-CU3.1,MSG16
IN-UA-CU3.1,MSG16
IN-UA-CU3.1.1,MSG181
IN-UA-CU3.1.2,MSG181
IN-UA-CU3.1.1,MSG182
IN-UA-CU3.1.2,MSG182
IN-UA-CU3.1.1,MSG183
IN-UA-CU3.1.2,MSG183
IN-UA-CU3.1.1,MSG184
IN-UA-CU3.1.2,MSG184
IN-UA-CU3.1.1,MSG185
IN-UA-CU3.1.2,MSG185
IN-UA-CU3.1.1,MSG188
IN-UA-CU3.1.2,MSG188
